productid,attribute_name,attributevalue
11237224,Sleeve Length,23
11237224,Fabric,68
11237224,Color,35
11237224,Neckline,4
11237250,Fit,0
11237250,Sleeve Length,3
11237250,Fabric,2
11237250,Color,18
11237250,Neckline,8
11245912,Fit,0
11245912,Sleeve Length,13
11245912,Fabric,2
11245912,Color,25
11245912,Neckline,51
11245920,Fit,0
11245920,Sleeve Length,23
11245920,Fabric,91
11245920,Color,35
11245920,Neckline,49
11245932,Fit,0
11245932,Sleeve Length,3
11245932,Fabric,2
11245932,Color,25
11245932,Neckline,49
11139524,Fit,14
11139524,Sleeve Length,23
11139524,Fabric,16
11139524,Color,95
11139524,Neckline,4
11139560,Fit,14
11139560,Sleeve Length,127
11139560,Fabric,2
11139560,Color,41
11139560,Neckline,4
11139650,Fit,14
11139650,Sleeve Length,23
11139650,Fabric,2
11139650,Color,31
11139650,Neckline,4
11148982,Fit,0
11148982,Sleeve Length,3
11148982,Fabric,2
11148982,Color,22
11148982,Neckline,8
11149036,Fit,0
11149036,Sleeve Length,3
11149036,Fabric,68
11149036,Color,28
11149036,Neckline,4
11148966,Fit,0
11148966,Sleeve Length,3
11148966,Fabric,2
11148966,Color,22
11148966,Neckline,4
11237090,Fit,0
11237090,Sleeve Length,217
11237090,Fabric,2
11237090,Color,18
11237090,Neckline,4
11237206,Fit,0
11237206,Sleeve Length,127
11237206,Fabric,2
11237206,Color,28
11237206,Neckline,4
11245948,Fit,0
11245948,Sleeve Length,13
11245948,Fabric,2
11245948,Color,177
11245948,Neckline,4
11148902,Fit,37
11148902,Sleeve Length,3
11148902,Fabric,16
11148902,Color,35
11148902,Neckline,4
11148920,Fit,0
11148920,Sleeve Length,53
11148920,Fabric,2
11148920,Color,18
11148920,Neckline,26
11148922,Fit,0
11148922,Sleeve Length,53
11148922,Fabric,2
11148922,Color,17
11148922,Neckline,26
11148954,Fit,37
11148954,Sleeve Length,3
11148954,Fabric,2
11148954,Color,41
11148954,Neckline,51
11148964,Fit,14
11148964,Sleeve Length,3
11148964,Fabric,2
11148964,Color,32
11148964,Neckline,51
11148984,Fit,0
11148984,Sleeve Length,3
11148984,Fabric,16
11148984,Color,25
11148984,Neckline,8
11149026,Fit,0
11149026,Sleeve Length,13
11149026,Fabric,2
11149026,Color,54
11149026,Neckline,4
11149062,Fit,0
11149062,Sleeve Length,13
11149062,Fabric,2
11149062,Color,38
11149062,Neckline,8
11149198,Fit,0
11149198,Sleeve Length,13
11149198,Fabric,2
11149198,Color,32
11149198,Neckline,51
11141530,Fit,0
11141530,Sleeve Length,21
11141530,Fabric,16
11141530,Color,25
11141530,Neckline,51
11144136,Fit,0
11144136,Sleeve Length,21
11144136,Fabric,2
11144136,Color,43
11144136,Neckline,49
11144260,Fit,0
11144260,Sleeve Length,21
11144260,Fabric,16
11144260,Color,31
11144260,Neckline,49
11237116,Fit,0
11237116,Sleeve Length,23
11237116,Fabric,16
11237116,Color,76
11237116,Neckline,49
11141538,Fit,0
11141538,Sleeve Length,23
11141538,Fabric,2
11141538,Neckline,26
11141644,Fabric,2
11141644,Color,22
11141306,Fabric,2
11141306,Color,28
11141308,Fit,0
11141308,Fabric,2
11141308,Color,71
11141318,Fit,0
11141318,Fabric,2
11141318,Color,149
11141320,Fit,0
11141320,Fabric,2
11141320,Color,149
11141324,Fit,0
11141324,Fabric,2
11141324,Color,163
11141326,Fit,0
11141326,Fabric,2
11141328,Fabric,2
11141328,Color,103
11141330,Fit,0
11141330,Fabric,2
11141330,Color,38
11141338,Fit,0
11141338,Fabric,2
11141338,Color,61
11141340,Fit,0
11141340,Fabric,2
11141340,Color,115
11141342,Fit,0
11141342,Fabric,2
11141342,Color,32
11141346,Fabric,2
11141346,Color,22
11141354,Fabric,2
11141354,Color,17
11139588,Fit,0
11139588,Fabric,58
11139588,Color,25
11139192,Fit,0
11139192,Fabric,2
11139192,Color,41
11139194,Fit,0
11139194,Fabric,2
11139194,Color,25
11237230,Fabric,16
11237230,Color,28
11149934,Fit,14
11149934,Sleeve Length,127
11149934,Fabric,2
11149934,Neckline,112
11150046,Fit,14
11150046,Sleeve Length,21
11150046,Fabric,2
11150046,Color,32
11150046,Neckline,4
11150078,Fit,14
11150078,Sleeve Length,13
11150078,Fabric,16
11150078,Color,20
11150078,Neckline,4
11150120,Fit,37
11150120,Sleeve Length,13
11150120,Fabric,2
11150120,Neckline,4
11149918,Fit,14
11149918,Fabric,2
11149964,Fit,14
11149964,Fabric,2
11150088,Fit,0
11150088,Fabric,2
11150088,Color,31
11150096,Fit,14
11150096,Fabric,2
11150096,Color,59
11149960,Fit,14
11149960,Sleeve Length,23
11149960,Fabric,16
11149960,Color,32
11149960,Neckline,112
11150104,Fit,14
11150104,Sleeve Length,13
11150104,Fabric,2
11150104,Neckline,4
11245944,Fit,0
11245944,Sleeve Length,23
11245944,Fabric,2
11245944,Neckline,227
11245946,Fit,0
11245946,Sleeve Length,21
11245946,Fabric,2
11245946,Neckline,4
11237132,Color,31
11237144,Fit,14
11237144,Sleeve Length,127
11237144,Fabric,2
11237144,Neckline,112
11237156,Fit,14
11237156,Sleeve Length,78
11237156,Fabric,2
11237156,Color,18
11237156,Neckline,4
11149974,Fit,0
11149974,Sleeve Length,23
11149974,Fabric,2
11149974,Color,32
11149974,Neckline,4
11245962,Fabric,213
11245962,Color,25
11148440,Fit,44
11148440,Sleeve Length,3
11148440,Fabric,2
11148440,Color,38
11148440,Neckline,26
11148482,Fit,44
11148482,Sleeve Length,3
11148482,Fabric,2
11148482,Color,28
11148482,Neckline,51
11148514,Fit,24
11148514,Sleeve Length,13
11148514,Fabric,2
11148514,Color,59
11148514,Neckline,26
11148516,Fit,24
11148516,Sleeve Length,13
11148516,Fabric,2
11148516,Color,63
11148516,Neckline,26
11147534,Fit,37
11147534,Sleeve Length,3
11147534,Fabric,2
11147534,Color,230
11147534,Neckline,8
11148854,Fit,37
11148854,Sleeve Length,3
11148854,Fabric,2
11148854,Color,54
11148854,Neckline,4
11237172,Fit,37
11237172,Sleeve Length,3
11237172,Fabric,2
11237172,Color,38
11237172,Neckline,4
11237174,Fit,14
11237174,Sleeve Length,13
11237174,Fabric,2
11237174,Color,18
11237174,Neckline,8
11237192,Fit,36
11237192,Sleeve Length,23
11237192,Fabric,2
11237192,Color,18
11237192,Neckline,4
11147512,Fit,0
11147512,Sleeve Length,3
11147512,Fabric,2
11147546,Fit,0
11147546,Sleeve Length,13
11147546,Fabric,58
11147546,Color,22
11147546,Neckline,8
11147548,Fit,0
11147548,Sleeve Length,13
11147548,Fabric,58
11147548,Color,122
11147548,Neckline,8
11147600,Fit,0
11147600,Sleeve Length,21
11147600,Fabric,2
11147600,Color,22
11147600,Neckline,26
11147622,Fit,0
11147622,Sleeve Length,13
11147622,Fabric,66
11147622,Color,31
11147622,Neckline,26
11148212,Fit,0
11148212,Sleeve Length,53
11148212,Fabric,2
11148212,Neckline,4
11148792,Fit,0
11148792,Sleeve Length,13
11148792,Fabric,68
11148792,Color,17
11148792,Neckline,8
11148860,Fit,0
11148860,Sleeve Length,3
11148860,Fabric,2
11148860,Neckline,26
11148888,Fit,0
11148888,Sleeve Length,23
11148888,Fabric,2
11148888,Color,45
11148888,Neckline,4
11237072,Fit,0
11237072,Sleeve Length,3
11237072,Fabric,2
11237072,Color,41
11237072,Neckline,8
11237164,Fit,0
11237164,Sleeve Length,13
11237164,Fabric,10
11237164,Color,20
11237164,Neckline,26
11237194,Fit,0
11237194,Sleeve Length,3
11237194,Fabric,2
11237194,Color,25
11237194,Neckline,8
11237196,Fit,0
11237196,Sleeve Length,3
11237196,Fabric,2
11237196,Color,62
11237196,Neckline,8
11245900,Fit,0
11245900,Sleeve Length,23
11245900,Fabric,33
11245900,Color,63
11245900,Neckline,4
11245914,Fit,0
11245914,Sleeve Length,3
11245914,Fabric,10
11245914,Color,25
11245914,Neckline,8
11145600,Category,1
11145602,Category,1
11145612,Category,1
11145614,Category,1
11145620,Category,1
11145624,Category,1
11145626,Category,1
11145634,Category,1
11145640,Category,1
11145642,Category,1
11145654,Category,1
11145664,Category,1
11145666,Category,1
11145684,Category,1
11145702,Category,1
11145726,Category,1
11145728,Category,1
11145740,Category,1
11145744,Category,1
11145748,Category,1
11145762,Category,1
11146082,Category,1
11146084,Category,1
11146384,Category,1
11146754,Category,1
11147250,Category,1
11147252,Category,1
11147258,Category,1
11147268,Category,1
11147280,Category,1
11147282,Category,1
11147290,Category,1
11147292,Category,1
11147300,Category,1
11147312,Category,1
11147324,Category,1
11237222,Category,1
11237224,Category,1
11237250,Category,1
11245912,Category,1
11245920,Category,1
11245932,Category,1
11139524,Category,1
11139560,Category,1
11139650,Category,1
11148982,Category,1
11149036,Category,1
11148966,Category,1
11237090,Category,1
11237206,Category,1
11245948,Category,1
11148902,Category,1
11148920,Category,1
11148922,Category,1
11148954,Category,1
11148964,Category,1
11148984,Category,1
11149026,Category,1
11149062,Category,1
11149198,Category,1
11141530,Category,1
11144136,Category,1
11144260,Category,1
11237116,Category,1
11141538,Category,1
11141644,Category,1
11141306,Category,1
11141308,Category,1
11141318,Category,1
11141320,Category,1
11141324,Category,1
11141326,Category,1
11141328,Category,1
11141330,Category,1
11141338,Category,1
11141340,Category,1
11141342,Category,1
11141346,Category,1
11141354,Category,1
11139588,Category,1
11139192,Category,1
11139194,Category,1
11237230,Category,1
11149934,Category,12
11150046,Category,12
11150078,Category,12
11150120,Category,12
11149918,Category,12
11149964,Category,12
11150088,Category,12
11150096,Category,12
11149960,Category,12
11150104,Category,12
11245944,Category,12
11245946,Category,12
11237132,Category,12
11237148,Category,12
11237144,Category,12
11237156,Category,12
11149974,Category,12
11148440,Category,7
11148482,Category,7
11148514,Category,7
11148516,Category,7
11147534,Category,7
11148854,Category,7
11237172,Category,7
11237174,Category,7
11237192,Category,7
11147512,Category,7
11147546,Category,7
11147548,Category,7
11147600,Category,7
11147622,Category,7
11148212,Category,7
11148792,Category,7
11148860,Category,7
11148888,Category,7
11237072,Category,7
11237164,Category,7
11237194,Category,7
11237196,Category,7
11245900,Category,7
11245914,Category,7
11335964,Category,1
11335964,Fit,0
11335964,Sleeve Length,13
11335964,Fabric,16
11335964,Color,28
11335964,Neckline,49
11335966,Category,1
11335966,Fit,14
11335966,Sleeve Length,23
11335966,Fabric,16
11335966,Color,69
11335966,Neckline,4
11335962,Category,1
11335962,Fit,0
11335962,Fabric,10
11335962,Color,41
11335962,Neckline,49
11147292,Fabric,10
11335962,Sleeve Length,48
11360810,Category,1
11360810,Fit,0
11360810,Sleeve Length,3
11360810,Fabric,2
11360810,Color,61
11360810,Neckline,26
11360812,Category,1
11360812,Fit,37
11360812,Sleeve Length,21
11360812,Fabric,2
11360812,Neckline,4
11360820,Category,1
11360820,Fit,0
11360820,Sleeve Length,3
11360820,Fabric,2
11360820,Color,20
11360820,Neckline,8
11360828,Category,1
11360828,Fit,0
11360828,Sleeve Length,13
11360828,Fabric,2
11360828,Color,54
11360828,Neckline,8
11360854,Category,1
11360854,Fit,0
11360854,Sleeve Length,13
11360854,Fabric,10
11360854,Color,79
11360854,Neckline,8
11360862,Category,1
11360862,Fit,0
11360862,Sleeve Length,3
11360862,Fabric,16
11360862,Color,54
11360862,Neckline,8
11360868,Category,1
11360868,Fit,0
11360868,Sleeve Length,13
11360868,Fabric,10
11360868,Color,18
11360868,Neckline,8
11360870,Category,1
11360870,Fit,0
11360870,Sleeve Length,13
11360870,Fabric,10
11360870,Color,71
11360870,Neckline,8
11360874,Category,1
11360874,Fit,0
11360874,Sleeve Length,3
11360874,Fabric,10
11360874,Color,18
11360874,Neckline,49
11360878,Category,1
11360878,Fit,0
11360878,Sleeve Length,3
11360878,Fabric,16
11360878,Color,25
11360878,Neckline,8
11360880,Category,1
11360880,Fit,0
11360880,Sleeve Length,3
11360880,Fabric,16
11360880,Color,25
11360880,Neckline,8
11360882,Category,1
11360882,Fit,0
11360882,Sleeve Length,21
11360882,Fabric,16
11360882,Color,25
11360882,Neckline,49
11360884,Category,1
11360884,Fit,0
11360884,Sleeve Length,3
11360884,Fabric,16
11360884,Color,25
11360884,Neckline,4
11360886,Category,1
11360886,Fit,0
11360886,Sleeve Length,3
11360886,Fabric,16
11360886,Color,25
11360886,Neckline,8
11360892,Category,1
11360892,Fit,0
11360892,Sleeve Length,3
11360892,Fabric,2
11360892,Color,25
11360892,Neckline,4
11360904,Category,1
11360904,Fit,37
11360904,Fabric,10
11360904,Color,25
11360904,Neckline,4
11360906,Category,1
11360906,Fit,0
11360906,Sleeve Length,3
11360906,Fabric,16
11360906,Color,25
11360906,Neckline,8
11360912,Category,1
11360912,Fit,0
11360912,Sleeve Length,3
11360912,Fabric,90
11360912,Color,25
11360912,Neckline,4
11360916,Category,1
11360916,Fit,0
11360916,Sleeve Length,3
11360916,Fabric,16
11360916,Color,25
11360916,Neckline,4
11360934,Category,1
11360934,Fit,0
11360934,Sleeve Length,23
11360934,Fabric,10
11360934,Color,28
11360934,Neckline,4
11361010,Category,1
11361010,Fit,0
11361010,Sleeve Length,21
11361010,Fabric,16
11361010,Color,17
11361010,Neckline,4
11361018,Category,1
11361018,Fit,0
11361018,Fabric,16
11361018,Color,17
11361018,Neckline,4
11361046,Category,1
11361046,Fit,37
11361046,Sleeve Length,13
11361046,Fabric,2
11361046,Color,32
11361046,Neckline,4
11361050,Category,1
11361050,Fit,0
11361050,Sleeve Length,3
11361050,Fabric,2
11361050,Color,28
11361050,Neckline,8
11361062,Category,1
11361062,Fit,0
11361062,Sleeve Length,13
11361062,Fabric,2
11361062,Color,28
11361062,Neckline,26
11361064,Category,1
11361064,Fit,0
11361064,Sleeve Length,3
11361064,Fabric,2
11361064,Color,18
11361064,Neckline,4
11360928,Category,1
11360928,Fit,0
11360928,Sleeve Length,3
11360928,Fabric,10
11360928,Color,28
11360928,Neckline,49
11360932,Category,1
11360932,Fit,0
11360932,Sleeve Length,3
11360932,Fabric,10
11360932,Color,17
11360932,Neckline,49
11360846,Category,1
11360846,Fit,0
11360846,Sleeve Length,13
11360846,Fabric,10
11360846,Color,28
11360846,Neckline,4
11360848,Category,1
11360848,Fit,0
11360848,Sleeve Length,3
11360848,Fabric,10
11360848,Color,40
11360848,Neckline,8
11360894,Category,1
11360894,Fabric,10
11360644,Category,12
11360644,Fit,14
11360644,Sleeve Length,23
11360644,Color,45
11360644,Neckline,4
11360692,Category,12
11360692,Fit,14
11360692,Sleeve Length,21
11360692,Fabric,2
11360692,Color,18
11360692,Neckline,4
11360694,Category,12
11360694,Fit,0
11360694,Sleeve Length,13
11360694,Fabric,2
11360694,Color,18
11360694,Neckline,49
11360696,Category,12
11360696,Fit,0
11360696,Sleeve Length,13
11360696,Fabric,2
11360696,Color,18
11360696,Neckline,4
11360698,Category,12
11360698,Fit,14
11360698,Sleeve Length,21
11360698,Fabric,2
11360698,Color,18
11360698,Neckline,100
11360656,Category,12
11360656,Fabric,2
11360656,Color,17
11360998,Category,7
11360998,Fit,24
11360998,Sleeve Length,117
11360998,Fabric,90
11360998,Color,38
11360998,Neckline,4
11361000,Category,7
11361000,Fit,24
11361000,Sleeve Length,117
11361000,Fabric,90
11361000,Neckline,4
11360768,Category,7
11360768,Fit,37
11360768,Sleeve Length,3
11360768,Fabric,10
11360768,Color,17
11360768,Neckline,4
11360798,Category,7
11360798,Fit,37
11360798,Sleeve Length,21
11360798,Fabric,2
11360798,Color,28
11360798,Neckline,8
11360800,Category,7
11360800,Fit,37
11360800,Sleeve Length,21
11360800,Fabric,2
11360800,Color,32
11360800,Neckline,8
11360956,Category,7
11360956,Fit,37
11360956,Sleeve Length,21
11360956,Fabric,2
11360956,Color,22
11360956,Neckline,8
11360990,Category,7
11360990,Fit,37
11360990,Sleeve Length,3
11360990,Fabric,16
11360990,Neckline,26
11360708,Fit,36
11360708,Sleeve Length,21
11360708,Fabric,2
11360708,Color,25
11360708,Neckline,26
11360710,Fit,36
11360710,Sleeve Length,21
11360710,Fabric,2
11360710,Color,17
11360710,Neckline,26
11360716,Fit,36
11360716,Sleeve Length,13
11360716,Fabric,2
11360716,Color,28
11360716,Neckline,4
11360718,Fit,36
11360718,Sleeve Length,13
11360718,Fabric,2
11360718,Color,28
11360718,Neckline,8
11360724,Fit,36
11360724,Sleeve Length,13
11360724,Fabric,2
11360724,Color,20
11360724,Neckline,4
11360730,Fit,36
11360730,Sleeve Length,13
11360730,Fabric,90
11360730,Color,18
11360730,Neckline,4
11360740,Fit,36
11360740,Sleeve Length,21
11360740,Fabric,2
11360740,Color,17
11360740,Neckline,4
11360756,Fit,36
11360756,Sleeve Length,13
11360756,Fabric,33
11360756,Color,95
11360756,Neckline,4
11360722,Category,7
11360722,Fit,0
11360722,Sleeve Length,13
11360722,Fabric,2
11360722,Color,54
11360722,Neckline,8
11360728,Category,7
11360728,Fit,0
11360728,Sleeve Length,3
11360728,Fabric,10
11360728,Color,28
11360728,Neckline,4
11360738,Category,7
11360738,Fit,0
11360738,Sleeve Length,13
11360738,Fabric,16
11360738,Color,17
11360738,Neckline,4
11360760,Category,7
11360760,Fit,0
11360760,Sleeve Length,13
11360760,Fabric,10
11360760,Color,17
11360760,Neckline,4
11360764,Category,7
11360764,Fit,0
11360764,Sleeve Length,3
11360764,Fabric,10
11360764,Color,40
11360764,Neckline,8
11360770,Category,7
11360770,Fit,0
11360770,Sleeve Length,3
11360770,Fabric,16
11360770,Color,54
11360770,Neckline,4
11360776,Category,7
11360776,Fit,0
11360776,Sleeve Length,23
11360776,Fabric,10
11360776,Color,20
11360776,Neckline,4
11360780,Category,7
11360780,Fit,0
11360780,Sleeve Length,48
11360780,Fabric,2
11360780,Color,28
11360780,Neckline,4
11360782,Category,7
11360782,Fit,0
11360782,Sleeve Length,3
11360782,Fabric,10
11360782,Color,18
11360782,Neckline,8
11360784,Category,7
11360784,Fit,0
11360784,Sleeve Length,3
11360784,Fabric,10
11360784,Color,54
11360784,Neckline,8
11360962,Category,7
11360962,Fit,0
11360962,Sleeve Length,13
11360962,Fabric,125
11360962,Color,40
11360962,Neckline,4
11360966,Category,7
11360966,Fit,0
11360966,Sleeve Length,3
11360966,Fabric,2
11360966,Color,35
11360966,Neckline,8
11360968,Category,7
11360968,Fit,0
11360968,Sleeve Length,13
11360968,Fabric,10
11360968,Color,166
11360968,Neckline,26
11360974,Category,7
11360974,Fit,0
11360974,Sleeve Length,3
11360974,Fabric,2
11360974,Color,25
11360974,Neckline,26
11360976,Category,7
11360976,Fit,0
11360976,Sleeve Length,3
11360976,Fabric,2
11360976,Color,17
11360976,Neckline,26
11360986,Category,7
11360986,Fit,0
11360986,Sleeve Length,3
11360986,Fabric,10
11360986,Color,22
11360986,Neckline,8
11360988,Category,7
11360988,Fit,0
11360988,Sleeve Length,3
11360988,Fabric,90
11360988,Color,20
11360988,Neckline,8
11360994,Category,7
11360994,Fit,0
11360994,Sleeve Length,3
11360994,Fabric,10
11360994,Color,25
11360994,Neckline,26
11360996,Category,7
11360996,Fit,0
11360996,Sleeve Length,3
11360996,Fabric,10
11360996,Color,17
11360996,Neckline,26
11361054,Category,7
11361054,Fit,0
11361054,Sleeve Length,3
11361054,Fabric,10
11361054,Color,28
11361054,Neckline,70
11361056,Category,7
11361056,Fit,0
11361056,Sleeve Length,3
11361056,Fabric,10
11361056,Color,17
11361056,Neckline,70
11361058,Category,7
11361058,Fit,0
11361058,Sleeve Length,13
11361058,Fabric,10
11361058,Color,18
11361058,Neckline,26
11361060,Category,7
11361060,Fit,0
11361060,Sleeve Length,13
11361060,Fabric,10
11361060,Color,62
11361060,Neckline,26
11360824,Fit,0
11360824,Sleeve Length,3
11360824,Category,1
11360824,Fabric,16
11360824,Neckline,8
11360642,Category,12
11360642,Fit,14
11360642,Sleeve Length,21
11360642,Fabric,16
11360642,Neckline,99
11360668,Fit,0
11360668,Sleeve Length,13
11360668,Fabric,10
11360668,Neckline,100
11360778,Category,7
11360778,Fit,0
11360858,Category,1
11360858,Fit,0
11360858,Sleeve Length,3
11360858,Fabric,16
11360858,Neckline,49
11360942,Category,1
11360942,Fit,0
11360942,Sleeve Length,3
11360942,Fabric,16
11360942,Neckline,49
11361044,Category,1
11361044,Fit,0
11361044,Sleeve Length,3
11361044,Fabric,10
11361044,Neckline,8
11360952,Category,1
11360952,Fabric,2
11360952,Color,28
11361042,Category,1
11361042,Fabric,2
11361042,Color,17
11360758,Fit,36
11360758,Sleeve Length,13
11360758,Fabric,33
11360758,Neckline,4
11360786,Category,7
11360786,Fit,0
11360786,Sleeve Length,3
11360786,Fabric,10
11360786,Neckline,8
11360964,Category,7
11360964,Fit,0
11360964,Sleeve Length,3
11360964,Fabric,2
11360964,Neckline,8
11360860,Category,1
11360860,Fit,0
11360860,Sleeve Length,3
11360860,Fabric,16
11360860,Neckline,8
11360704,Category,7
11360704,Fit,14
11360704,Sleeve Length,21
11360704,Fabric,33
11360704,Neckline,26
11360778,Sleeve Length,23
11360778,Fabric,10
11360778,Neckline,4
11360658,Category,12
11360658,Fabric,2
11360688,Fit,0
11360688,Sleeve Length,13
11360688,Fabric,16
11360688,Neckline,4
11148980,Category,1
11148980,Fit,37
11148980,Sleeve Length,23
11148980,Fabric,2
11237230,Season,42
11141306,Season,56
11141308,Season,56
11141318,Season,56
11141320,Season,56
11141324,Season,56
11141326,Season,56
11141328,Season,56
11141330,Season,56
11141338,Season,56
11141340,Season,56
11141342,Season,56
11141346,Season,56
11141354,Season,56
11149918,Season,42
11149964,Season,42
11141530,Season,42
11144136,Season,42
11144260,Season,42
11237116,Season,42
11145600,Season,42
11145602,Season,42
11145612,Season,42
11145614,Season,42
11145620,Season,42
11145624,Season,42
11145626,Season,42
11145634,Season,42
11145640,Season,42
11145642,Season,42
11145654,Season,42
11145664,Season,42
11145666,Season,42
11145684,Season,42
11145702,Season,42
11145726,Season,42
11145728,Season,42
11145740,Season,42
11145744,Season,42
11145748,Season,42
11145762,Season,42
11146384,Season,42
11147250,Season,42
11147252,Season,42
11147258,Season,42
11147268,Season,42
11147280,Season,42
11147282,Season,42
11147290,Season,42
11147292,Season,42
11147300,Season,42
11147312,Season,42
11147324,Season,42
11237222,Season,42
11237224,Season,42
11237250,Season,42
11245912,Season,42
11245920,Season,42
11245932,Season,42
11139524,Season,42
11139560,Season,42
11139650,Season,42
11149960,Season,42
11245944,Season,42
11245946,Season,42
11139192,Season,42
11139194,Season,42
11139588,Season,42
11149974,Season,42
11148966,Season,42
11237090,Season,42
11237206,Season,42
11245948,Season,42
11237174,Season,42
11358628,Season,42
11149934,Season,42
11148902,Season,42
11148920,Season,42
11148922,Season,42
11148954,Season,42
11148964,Season,42
11148984,Season,42
11149026,Season,42
11141538,Season,42
11148980,Season,42
11148854,Season,42
11237172,Season,42
11237192,Season,42
11148982,Season,42
11237144,Season,42
11237156,Season,42
11150146,Season,42
11237132,Season,42
11237148,Season,42
11147512,Season,42
11147546,Season,42
11147548,Season,42
11147600,Season,42
11147622,Season,42
11148860,Season,42
11148888,Season,42
11237072,Season,42
11237164,Season,42
11237194,Season,42
11237196,Season,42
11245900,Season,42
11245914,Season,42
11362286,Season,42
11407388,Season,15
11407392,Season,15
11407394,Season,15
11360656,Season,15
11360658,Season,15
11407316,Season,15
11245962,Season,15
11407238,Season,15
11407246,Season,15
11407248,Season,15
11360998,Season,15
11361000,Season,15
11407432,Season,15
11335962,Season,15
11335964,Season,15
11335966,Season,15
11360810,Season,15
11360812,Season,15
11360820,Season,15
11360824,Season,15
11360828,Season,15
11360854,Season,15
11360858,Season,15
11360860,Season,15
11360862,Season,15
11360868,Season,15
11360870,Season,15
11360874,Season,15
11360878,Season,15
11360880,Season,15
11360882,Season,15
11360884,Season,15
11360886,Season,15
11360892,Season,15
11360904,Season,15
11360906,Season,15
11360912,Season,15
11360916,Season,15
11360934,Season,15
11360942,Season,15
11361010,Season,15
11361018,Season,15
11361044,Season,15
11361046,Season,15
11361050,Season,15
11361062,Season,15
11361064,Season,15
11407098,Season,15
11407102,Season,15
11407112,Season,15
11407114,Season,15
11407116,Season,15
11407120,Season,15
11407122,Season,15
