UserId,product_list
578,"[12360390, 12407780, 13039514, 13039526, 13039782, 13039818, 13039828, 12657872, 13039848, 12407682]"
579,"[11660002, 12360374, 12658584, 12696914, 12407400, 11659420, 12371340, 11659060, 12407354, 12407334]"
593,"[13039518, 13039516, 13039846, 12658016, 11658996, 12658524, 11659554, 12371378, 12407830, 11659860]"
608,"[12657500, 12657714, 12657722, 12658232, 12658396, 12658414, 12658438, 12658458, 12995904, 11659666]"
611,"[11407170, 12407770, 11407154, 12360436, 12407792, 11407262, 13039846, 12360444, 12658406, 12371378]"
635,"[13039516, 12658512, 12407154, 12407730, 12371378, 11659624, 12407400, 12406904, 12407742, 12407398]"
640,"[12360454, 11659764, 12407742, 12407642, 11659884, 11659708, 12658512, 12407154, 12407730, 12371378]"
654,"[11658992, 11659006, 11659326, 11659490, 11659934, 11659972, 11659990, 11660004, 12657638, 12657718]"
661,"[11659860, 12407770, 12658616, 13038820, 11659950, 11659110, 11659336, 11659740, 13038816, 13038826]"
666,"[12657724, 12657732, 11407114, 12407444, 12657734, 12371258, 12657788, 12407776, 12396536, 12657730]"
669,"[12360444, 12407742, 13039516, 12371378, 12407760, 12407762, 12658406, 13039840, 12322648, 12322666]"
683,"[11360934, 11480984, 11360860, 11360880, 11481092, 12407606, 11407406, 11461006, 11481006, 12658182]"
687,"[13039524, 13039780, 13039822, 13039516, 13039840, 11659616, 11659626, 12407672, 13039646, 13039736]"
689,"[13039482, 12657870, 12407278, 13039470, 11407244, 13039474, 13039490, 11659104, 12407028, 13039464]"
691,"[12406936, 12658406, 11481008, 12406908, 11659090, 12371308, 12696926, 12658588, 12995874, 12658344]"
714,"[11659624, 12407010, 13038648, 12407392, 12407388, 12406998, 11659580, 12657658, 11659020, 12658512]"
718,"[12657584, 12658620, 13038974, 13039490, 13039792, 11660002, 12407528, 13039472, 12657574, 13038966]"
735,"[12407770, 12658512, 12407154, 12407730, 12371378, 11659624, 12407400, 12406904, 12407742, 12407398]"
741,"[13039896, 13039886, 13039890, 13039878, 11659314, 13039888, 11659742, 11714538, 13039880, 13653654]"
743,"[11659770, 12657626, 11660030, 12657792, 11659696, 12407012, 12407624, 12407940, 12658154, 11659104]"
756,"[12371378, 12407834, 12658402, 12658452, 12658482, 12360454, 12407832, 11659546, 12322658, 12407638]"
771,"[12407694, 12657432, 12658418, 12407732, 12658238, 12658310, 12658412, 12407672, 13039842, 12657732]"
773,"[11659552, 12360464, 12407642, 11659532, 11659604, 12658342, 12407386, 11659620, 12371382, 12658390]"
794,"[12407388, 12658512, 12407154, 12407730, 12371378, 11659624, 12407400, 12406904, 12407742, 12407398]"
846,"[12407742, 13039848, 12407638, 12658512, 12407154, 12407730, 12371378, 11659624, 12407400, 12406904]"
852,"[12360436, 12658194, 11460780, 12658490, 11660006, 12360422, 11659024, 12657364, 12407392, 12436566]"
857,"[12407382, 12657448, 12658512, 12407154, 12407730, 12371378, 11659624, 12407400, 12406904, 12407742]"
861,"[12406964, 11659244, 12407400, 12407388, 12407402, 11659150, 11659250, 12658512, 12407154, 12407730]"
866,"[12657338, 12658332, 12657558, 11659630, 12407450, 11480994, 12407398, 12407400, 12657340, 12407028]"
871,"[12406906, 12407382, 12407230, 12407370, 12407934, 11659954, 12407040, 12407388, 12406888, 12407386]"
878,"[12657782, 12657802, 12658406, 12657398, 12696938, 12371342, 12658614, 12657554, 12658564, 12657652]"
892,"[11659146, 11659058, 11659306, 12371298, 11659244, 11658994, 12407228, 12407386, 12658512, 12407154]"
894,"[12407684, 11407154, 12407594, 12407716, 12658512, 12407154, 12407730, 12371378, 11659624, 12407400]"
925,"[12407568, 11714428, 12360458, 12407508, 12407742, 11360848, 11659222, 11714676, 11659986, 12407462]"
926,"[11659530, 11659626, 11714680, 11659608, 12310312, 12406914, 11659618, 11659688, 11659330, 11659654]"
928,"[11659456, 12658148, 12658150, 12658462, 12988634, 12658124, 11461040, 11659918, 12360426, 12407370]"
957,"[13039848, 12658512, 12407154, 12407730, 12371378, 11659624, 12407400, 12406904, 12407742, 12407398]"
958,"[11659520, 12406990, 13038868, 13039078, 13039598, 13039908, 11659736, 12406970, 12407020, 12407742]"
959,"[13039574, 13039504, 13039692, 13039594, 13039560, 13039704, 13039538, 13039568, 14122834, 11659452]"
969,"[11659640, 11659780, 12322654, 12371386, 12407656, 12407678, 13039580, 11659766, 11659740, 11659550]"
1002,"[11659736, 12360444, 12407818, 13039508, 13039566, 13039720, 11659960, 13039782, 13039630, 12322648]"
1017,"[11145740, 11658986, 11659934, 12371298, 12406868, 12406892, 12407132, 12657448, 12657704, 12658516]"
1023,"[11659806, 12407742, 12407824, 12658332, 12658348, 13039792, 12658410, 11659652, 12407712, 12658272]"
1041,"[12371378, 12407728, 12407762, 12407780, 12360428, 11659586, 12658512, 12407154, 12407730, 12371378]"
1048,"[12360464, 12407734, 12657766, 12657772, 12657776, 12658406, 12658426, 13039878, 13039898, 13039890]"
1051,"[11659438, 12658616, 11659334, 12657360, 12658676, 11714422, 12658612, 11658992, 12988650, 11659964]"
1066,"[12406870, 12658358, 13038828, 13039440, 13039442, 13039502, 13039538, 13039570, 12407524, 12658606]"
1074,"[11407382, 12407782, 12658512, 12407154, 12407730, 12371378, 11659624, 12407400, 12406904, 12407742]"
1076,"[12371306, 12407694, 12658228, 12407566, 12406878, 11659740, 12657384, 11659538, 12371308, 12407524]"
1077,"[13039848, 12658512, 12407154, 12407730, 12371378, 11659624, 12407400, 12406904, 12407742, 12407398]"
1097,"[12407802, 13064980, 13064982, 13039466, 13064966, 13653534, 13081770, 12658512, 12407154, 12407730]"
1104,"[11360784, 11460972, 11660122, 11714464, 11714538, 12407108, 12407356, 12407730, 12407760, 12657966]"
1145,"[11139192, 11148902, 11360886, 11407140, 11407374, 11407436, 11460670, 11481024, 11603772, 11659124]"
1159,"[12407030, 11659236, 11659004, 12407386, 12658604, 12658512, 12407154, 12407730, 12371378, 11659624]"
1190,"[13038956, 13039782, 13064966, 11407212, 13038964, 13039840, 13039842, 13039566, 13039892, 13039502]"
1198,"[12407924, 12658326, 13039026, 14122744, 13039032, 13039540, 13039818, 12657636, 11659090, 12406936]"
1202,"[12658476, 11659764, 12658232, 12658352, 12407760, 12658406, 12658308, 12658370, 11660078, 12658286]"
1203,"[11460696, 11659886, 11660126, 12396560, 12407694, 12657976, 12658034, 12658042, 12658090, 13038824]"
1210,"[11461022, 11603836, 11659106, 11659336, 12406882, 12406906, 12407408, 12407512, 12657788, 12658138]"
1236,"[11659632, 12658512, 12407154, 12407730, 12371378, 11659624, 12407400, 12406904, 12407742, 12407398]"
1251,"[11659402, 11659404, 11714676, 11659406, 11714670, 12658512, 12407154, 12407730, 12371378, 11659624]"
1260,"[11460780, 11659192, 11659334, 12406872, 11407172, 12407526, 11335962, 11407216, 11460802, 11461042]"
1261,"[11659248, 12407132, 11659036, 12658512, 12407154, 12407730, 12371378, 11659624, 12407400, 12406904]"
1263,"[14101712, 13072176, 13773574, 12947666, 13072610, 13653544, 12658512, 12407154, 12407730, 12371378]"
1269,"[12658352, 12658406, 12658232, 12658476, 12658304, 12658394, 11659590, 12658348, 12658234, 12360448]"
1270,"[12099206, 12322644, 12360426, 12396550, 12407840, 12658314, 11360662, 12322654, 12360398, 13039554]"
1283,"[13039706, 13039776, 12407712, 11460914, 11460780, 11460902, 11460926, 11407264, 12360428, 12407772]"
1308,"[12406880, 12406890, 13650124, 13650178, 11660128, 12360426, 12371270, 12406972, 12407818, 12936560]"
1324,"[13038974, 13038966, 13038978, 13038968, 13039556, 11659954, 13038980, 13038984, 12406932, 12407830]"
1347,"[12407028, 12406972, 12407420, 12658512, 12407154, 12407730, 12371378, 11659624, 12407400, 12406904]"
1383,"[12360388, 12658490, 12657534, 12658330, 12658512, 12407154, 12407730, 12371378, 11659624, 12407400]"
1387,"[12658420, 13038868, 13038954, 13039578, 13039878, 13039892, 13039894, 13038852, 13039658, 13039902]"
1399,"[13038822, 13039050, 13038816, 13039042, 13039044, 13202646, 13038826, 13017344, 13038830, 13038958]"
1408,"[12407624, 12360454, 12658330, 12407022, 12371386, 12406976, 12658612, 12658144, 12407728, 11361046]"
1409,"[13039534, 13039896, 13039548, 13039578, 13039878, 13039888, 13039886, 13039742, 12406926, 12407594]"
1429,"[11603770, 11603772, 12696926, 11659090, 11659362, 11659358, 12657532, 12407924, 13067402, 12658512]"
1442,"[11145600, 11145762, 11360728, 11360860, 11361044, 11460780, 11603796, 11659224, 11659540, 11659556]"
1451,"[12658486, 12658536, 13038886, 13038942, 13038950, 13653624, 13038964, 11660246, 13038952, 13038958]"
1484,"[11659020, 12657596, 13038648, 13038850, 14121830, 12657580, 12657652, 12657654, 12406970, 11659548]"
1492,"[11658984, 12407924, 12655600, 12657726, 11603836, 11659090, 12657532, 11659068, 12371254, 12406904]"
1500,"[12995878, 13039066, 13773572, 13039026, 13039038, 13039068, 12371244, 13039030, 13039052, 13039540]"
1503,"[11659340, 12360448, 12406880, 12407016, 12407236, 12407512, 12657772, 12657794, 12407930, 12657366]"
1506,"[13039540, 13039688, 13039648, 13039658, 13039820, 11659780, 13039560, 13039844, 13039816, 13039826]"
1509,"[13039512, 13039554, 13039782, 13039732, 13039504, 12973004, 12658512, 12407154, 12407730, 12371378]"
1515,"[11141328, 11659764, 11659806, 12322654, 12360412, 12360414, 12371354, 12371376, 12371378, 12371382]"
1546,"[11407204, 12371374, 12407368, 12657382, 12658482, 13039032, 11659630, 12322658, 12407798, 13039044]"
1550,"[11460894, 11360776, 11407262, 11460936, 11659628, 11407264, 11659734, 12371368, 12407754, 12407770]"
1552,"[12371338, 12407880, 12657494, 12658676, 12407402, 12407408, 12407436, 12657534, 12658620, 12407388]"
1567,"[11659204, 12658102, 12657360, 12658302, 11659728, 11659650, 12657534, 11659212, 11659220, 11659306]"
1572,"[12657770, 12658620, 12657376, 12658618, 12657374, 12657586, 12658146, 12657780, 12657366, 12658512]"
1574,"[11659632, 11714500, 13039440, 13039460, 13039540, 12407028, 12657556, 13039442, 13039448, 12658246]"
1593,"[11660002, 12407738, 12657706, 13039574, 13039888, 11659742, 13039896, 13039578, 13039890, 13653654]"
1594,"[11141306, 11652760, 11714694, 12371932, 12657558, 12658394, 11141320, 11141328, 11141338, 11141342]"
1603,"[11520046, 12407852, 12437310, 12657436, 12657494, 12657526, 12657650, 13038824, 13038946, 13039080]"
1605,"[11659022, 11659630, 12658144, 11659766, 12658386, 12658420, 12658132, 12658146, 11659238, 11659248]"
1607,"[12371378, 12407790, 12407708, 12407792, 11659666, 12371376, 12407762, 12658304, 12407388, 12407498]"
1609,"[11659472, 11659588, 11714306, 11659880, 11658998, 11659034, 12657378, 11659208, 11659426, 11659958]"
1637,"[12407008, 12407368, 11659252, 12407392, 11659044, 11659158, 12407350, 12371366, 12407932, 12657362]"
1660,"[11460742, 11461108, 12406940, 12407010, 12407742, 12407828, 12658512, 12947664, 13039096, 13039106]"
1668,"[11714540, 12407796, 13039516, 11659526, 12658476, 12658440, 11659742, 11659554, 11659858, 12407730]"
1709,"[11659624, 12407742, 12658358, 13039024, 13039470, 13039516, 13039548, 13039690, 13039748, 13039818]"
1713,"[12658588, 12658262, 12658686, 12658586, 12657562, 12657654, 12658534, 12658674, 12658676, 13039822]"
1733,"[13038882, 13038878, 13202662, 13038902, 11659026, 12657622, 13038684, 12658262, 12658512, 12407154]"
1755,"[12406930, 12657366, 12371256, 12407318, 12407502, 12407946, 11658984, 11659298, 11659312, 11659604]"
1756,"[11147252, 11360672, 11360880, 11360894, 11361056, 11407256, 11407374, 11407382, 11460686, 11481078]"
1766,"[11659806, 12658450, 12658496, 12407760, 12407832, 11659622, 12658156, 12658240, 13039514, 12360434]"
1773,"[12658438, 12407730, 11659852, 12322648, 12973004, 12658676, 12371370, 11714680, 12658290, 12658304]"
1791,"[12657780, 12658202, 12658204, 12995908, 12657718, 12658510, 12658512, 12407154, 12407730, 12371378]"
1803,"[11148922, 11360884, 11360912, 12657532, 11145748, 11603770, 12407116, 12407314, 12657652, 11148902]"
1808,"[11460792, 11659158, 12371378, 12407770, 11659206, 11659250, 12657500, 11659238, 12360428, 12407010]"
1813,"[13039774, 12371386, 12407726, 12360406, 12407840, 12371378, 12658512, 12407154, 12407730, 12371378]"
1816,"[12371342, 12657434, 12658594, 12658600, 12406874, 12407814, 12658402, 12407346, 12407398, 11659298]"
1831,"[11659838, 11659780, 12658512, 12407154, 12407730, 12371378, 11659624, 12407400, 12406904, 12407742]"
1847,"[11360758, 12360438, 11460900, 11659654, 12658440, 11360704, 11659934, 12407818, 12658464, 11460904]"
1864,"[13039088, 13039100, 12407394, 13039084, 13039094, 11659290, 13039102, 13039080, 12657714, 13039078]"
1895,"[12371248, 12406862, 12406906, 12407224, 12406904, 12407390, 12657334, 11659250, 12360382, 12406894]"
1896,"[12407188, 13039440, 13039442, 13202646, 13202670, 12406942, 13038990, 13039456, 13202644, 12406966]"
1897,"[11481076, 11481086, 11481070, 11481082, 11360912, 11481084, 11460766, 11460780, 11460782, 11460784]"
1916,"[12658394, 12658476, 12658484, 13039760, 13039834, 11660124, 12322648, 12658300, 12658306, 12658440]"
1920,"[11460676, 12407158, 12407176, 12407742, 11660132, 12407166, 12407132, 12407148, 11460730, 11714700]"
1925,"[12995878, 12988618, 12988620, 12988630, 12988626, 12995872, 12988604, 12657898, 12657366, 12657606]"
1969,"[11659168, 11714670, 12407398, 12407400, 12406858, 12407424, 11660104, 12657416, 11659044, 11659640]"
1980,"[11407282, 12360398, 12407800, 12658258, 12658270, 13039536, 11659840, 11659914, 12360452, 12371386]"
1981,"[11659048, 11659052, 11659534, 11659624, 11659670, 12322664, 12360452, 12371376, 12657612, 12658330]"
1990,"[12407324, 12657752, 13038932, 13038974, 13038980, 13039516, 13039518, 13039602, 13039618, 13039624]"
2004,"[12658296, 12658376, 12658406, 12658404, 12657362, 12658428, 12658352, 12658452, 11659580, 11659764]"
2008,"[12658204, 12658676, 12658564, 12658568, 12658184, 12657584, 12657592, 12658376, 12658532, 12658502]"
2012,"[11141306, 11360912, 11360976, 11361050, 11361056, 11407350, 11461042, 11658950, 11659334, 11659562]"
2019,"[12407742, 12658406, 11659562, 12658404, 11659624, 12322666, 11659560, 12407832, 12360450, 12658490]"
2023,"[13039088, 13039100, 13039080, 13039102, 13039078, 13039092, 13039096, 12658400, 12658446, 13039084]"
2037,"[11481020, 11659026, 11659988, 12407638, 12658138, 12658586, 11360860, 11659250, 11659954, 12407914]"
2038,"[12322658, 12407390, 12407400, 12658512, 12658616, 12407386, 12407388, 12657360, 12658608, 12407832]"
2067,"[11659000, 11659104, 11659108, 11659180, 11659250, 11659566, 11659632, 11660146, 12322662, 12360374]"
2074,"[12657442, 13202646, 13202662, 13202664, 13038684, 13202644, 12407380, 13202642, 13202658, 13202672]"
2076,"[12657360, 12658512, 12407154, 12407730, 12371378, 11659624, 12407400, 12406904, 12407742, 12407398]"
2082,"[13039496, 12658512, 12407154, 12407730, 12371378, 11659624, 12407400, 12406904, 12407742, 12407398]"
2091,"[11659206, 11659234, 12407016, 12407444, 12407830, 12658300, 11659216, 12360380, 12360382, 12360392]"
2110,"[11245914, 11360660, 11360730, 11460780, 11652760, 11659030, 11659330, 11659538, 11659624, 11659696]"
2124,"[11407162, 11480974, 12360388, 12658512, 11360810, 11659246, 11659984, 12657500, 11460676, 11659158]"
2150,"[12360380, 12360392, 11360994, 12657556, 11659298, 11659420, 11659340, 12657514, 12657724, 12657734]"
2152,"[13039742, 13039508, 12407770, 13039532, 12658472, 13039664, 13039794, 13039826, 12658470, 13039580]"
2155,"[11360770, 11659126, 11659128, 11659468, 11714426, 12322664, 12658300, 12658332, 12658400, 11659048]"
2172,"[12407794, 11659666, 12407890, 12657654, 12658230, 11360780, 11659604, 12407852, 12658512, 12407154]"
2177,"[12657618, 12658518, 13038880, 13038882, 13038886, 13039650, 13039838, 13039840, 13202648, 11659950]"
2192,"[13038648, 12658512, 12407154, 12407730, 12371378, 11659624, 12407400, 12406904, 12407742, 12407398]"
2196,"[11658986, 11659464, 11659882, 11659934, 11714428, 11714682, 11658998, 11659034, 11659146, 11659342]"
2207,"[11660000, 12407624, 12407926, 12657766, 13038904, 13038906, 13038978, 13039020, 13039052, 13039904]"
2215,"[11659716, 11659742, 12407394, 12658416, 12658464, 12658220, 12658414, 12658484, 12322660, 12407168]"
2218,"[11659306, 11659964, 12407398, 12407400, 11659058, 11659146, 12407390, 12407392, 12371298, 11714594]"
2224,"[11659532, 11659674, 12322658, 12322666, 12406904, 12407744, 12407754, 12407814, 12657732, 12658328]"
2234,"[13039474, 13039470, 12360388, 13039476, 13039480, 12988638, 13039472, 12360438, 13039520, 13039468]"
2237,"[11659742, 12658586, 11659590, 12658234, 11659736, 12658346, 11659052, 11659576, 12658304, 12658348]"
2240,"[11407382, 11659306, 12657366, 13038648, 12657804, 11714428, 11660054, 11659980, 12407390, 11659024]"
2251,"[13038878, 13039896, 12657562, 13038890, 13039886, 13202658, 13039890, 13202644, 11659422, 11714428]"
2259,"[11659688, 11659742, 11659834, 12360446, 12658364, 12658494, 11659710, 12658254, 11659518, 11659586]"
2274,"[12407436, 12407780, 12407800, 12407888, 12371376, 12407456, 11659650, 12360418, 12406922, 12658388]"
2300,"[11407280, 11659158, 11659312, 12657612, 12657648, 12657656, 11659148, 11407236, 11460792, 11659240]"
2309,"[12407818, 13038962, 13064998, 12360424, 12407730, 13039496, 11237174, 12360462, 13038958, 11659288]"
2317,"[11603798, 11659024, 11659236, 11659838, 11714602, 12407524, 12657340, 13039100, 11461020, 11659438]"
2335,"[12407788, 12099206, 12407748, 12360426, 12407840, 12658314, 12360398, 13039554, 12407696, 12658364]"
2348,"[11659854, 12360420, 12407620, 12658436, 13039548, 13039650, 13039504, 13039800, 12407692, 14122832]"
2366,"[11659706, 12658512, 12407154, 12407730, 12371378, 11659624, 12407400, 12406904, 12407742, 12407398]"
2387,"[13653564, 13039844, 13653522, 12657960, 12322660, 12407042, 13039534, 13039554, 13039652, 13039742]"
2388,"[12407024, 12407498, 11659298, 12371348, 11660000, 11360860, 12407394, 12658104, 11461022, 12407028]"
2400,"[11659836, 13039806, 11659520, 11659626, 11659840, 13039850, 12658512, 12407154, 12407730, 12371378]"
2406,"[12658368, 12658430, 12658528, 12658134, 12658246, 12658444, 11659708, 11660146, 11659450, 11659750]"
2414,"[11659218, 11659252, 12407006, 12407008, 12407350, 12407398, 12360452, 12406868, 11659518, 12407932]"
2421,"[11659066, 11659072, 11659074, 11659130, 11659216, 11659218, 12407274, 12407444, 12407512, 12436752]"
2450,"[11659220, 12657384, 12657386, 11659212, 11714478, 12407856, 12657694, 12360426, 11659306, 12657390]"
2458,"[12657732, 12657746, 12657758, 12658480, 12407436, 12657728, 12973004, 13039526, 12657724, 12657384]"
2471,"[11407382, 12407782, 12658512, 12407154, 12407730, 12371378, 11659624, 12407400, 12406904, 12407742]"
2482,"[12407742, 12658512, 12407154, 12407730, 12371378, 11659624, 12407400, 12406904, 12407742, 12407398]"
2513,"[12657534, 13038942, 13038948, 12407742, 13038944, 11659236, 13038946, 12658512, 12407154, 12407730]"
2516,"[11714306, 12371378, 12407030, 12360428, 12407388, 12658330, 11360924, 11714534, 12406958, 12406964]"
2518,"[11659330, 11659654, 11659530, 11659626, 11658946, 11659334, 11659546, 11659956, 12360372, 11714680]"
2519,"[11659834, 12658246, 11659864, 11659546, 12407714, 11659520, 11659770, 11659960, 12360408, 11659692]"
2524,"[11360932, 12406976, 12407476, 12407478, 12407480, 13038956, 13039774, 12407678, 12406974, 11714588]"
2527,"[11659966, 12406862, 13038648, 12407814, 11659980, 12407390, 12406998, 11360884, 11659272, 12407388]"
2530,"[12407356, 12658512, 12407154, 12407730, 12371378, 11659624, 12407400, 12406904, 12407742, 12407398]"
2532,"[12371378, 12658512, 12407154, 12407730, 12371378, 11659624, 12407400, 12406904, 12407742, 12407398]"
2542,"[11659776, 12658228, 11659624, 12658262, 12658512, 12407154, 12407730, 12371378, 11659624, 12407400]"
2554,"[11659056, 11659342, 11659780, 12657434, 12657436, 11659310, 12407388, 12658202, 11659148, 12657648]"
2573,"[12407340, 11659236, 12407342, 12406990, 11659036, 12407534, 11659914, 12407010, 12658440, 11659240]"
2601,"[11407274, 11659628, 12360398, 12407674, 12407696, 12658268, 12658292, 12658294, 12658308, 12658314]"
2608,"[11714680, 11659864, 11714526, 11659566, 12658246, 13039744, 11659574, 12658512, 12407154, 12407730]"
2632,"[12407780, 13039656, 13039688, 13039696, 11659734, 13039602, 13039650, 12658228, 12406900, 13039774]"
2648,"[12407770, 12658512, 12407154, 12407730, 12371378, 11659624, 12407400, 12406904, 12407742, 12407398]"
2663,"[12371256, 11659298, 11658984, 12657500, 12407648, 12407818, 12406930, 11659332, 12407850, 12406958]"
2664,"[11407140, 12407154, 12657720, 12657426, 11407134, 12407540, 11481024, 11461040, 11659144, 11659888]"
2667,"[11360912, 12658426, 11460902, 12658430, 12658390, 11407278, 11460964, 11659686, 11360722, 11460780]"
2751,"[13039646, 13039650, 13039602, 13039838, 12360426, 12658274, 12658310, 12658326, 13039648, 13039840]"
2754,"[11360674, 12407116, 12407154, 12658030, 11360672, 11659740, 11660054, 11360654, 11360698, 12657992]"
2766,"[11659550, 12658370, 13039922, 13039916, 12658406, 11659934, 12407742, 12658402, 12658404, 13039928]"
2777,"[11460972, 11658998, 11659336, 11659520, 11659530, 11659542, 11659550, 11659552, 11659554, 11659566]"
2779,"[11360760, 11659780, 11660008, 12658404, 12658462, 13038858, 13038882, 13038942, 13039560, 13039662]"
2801,"[11407262, 11460954, 11460964, 11659622, 11659632, 11659716, 12322646, 12360410, 12360418, 12407694]"
2820,"[12360374, 11603832, 12407400, 12657534, 12407832, 11658994, 12658508, 11714312, 11659298, 12407438]"
2830,"[13039706, 12407712, 13039776, 11659650, 12407698, 11460916, 12360448, 11407282, 11460926, 11659820]"
2871,"[11659248, 12322660, 12658084, 12658512, 12407154, 12407730, 12371378, 11659624, 12407400, 12406904]"
2880,"[11659630, 11659840, 11360860, 11659628, 12407742, 12407678, 12658512, 12407154, 12407730, 12371378]"
2886,"[13038858, 13039840, 12658480, 13038866, 13039516, 12658556, 11659740, 13038864, 13038868, 12407790]"
2894,"[12407194, 12658084, 11660246, 12658016, 12407132, 12407202, 12407154, 11360648, 12396550, 11460730]"
2898,"[12657900, 12658054, 12657878, 13653612, 12657950, 11659526, 12657998, 12658066, 13653628, 11660064]"
2915,"[12407006, 12407400, 12407388, 12407392, 12407496, 12407498, 12407932, 12396562, 12657526, 12371246]"
2961,"[12657408, 12657804, 12657406, 12657648, 12657652, 12658330, 12658328, 12658430, 12658686, 11659606]"
2970,"[11481024, 11659002, 12406904, 12407354, 12407382, 12407436, 11659158, 12371342, 11659954, 12407040]"
2974,"[11335962, 11360882, 11659526, 11660006, 11460914, 11659564, 11659618, 11360942, 11481050, 11360912]"
3000,"[12436886, 12437380, 12436888, 12437060, 12437062, 12437282, 12437306, 12436456, 12436458, 12436460]"
3010,"[13039520, 13039514, 13039516, 13039792, 12371378, 12658304, 13039656, 12658512, 12407154, 12407730]"
3018,"[11659042, 11659044, 11659688, 11659764, 12360450, 12360456, 12407534, 12655600, 13038848, 13038850]"
3041,"[13039540, 13039516, 13039838, 13039650, 12658512, 12407154, 12407730, 12371378, 11659624, 12407400]"
3046,"[11659148, 11659362, 11659558, 11659570, 11659602, 12657440, 12658204, 11659186, 11659644, 11659566]"
3050,"[12658138, 12657360, 12658618, 12658312, 12657556, 12658136, 12657700, 12407614, 12658502, 12658682]"
